IND	HLM		Individuo	Medida	Unidad	Analógico	Digital	Resta	Dif_rel	Dif_rel_porc											
2	2,4		2	HLM	Húmero	293	300	7	0,024	2,39											
8	-3,2		2	HLF	Húmero	290	296	6	0,021	2,07											
			2	HAE	Húmero	55	60	5	0,091	9,09		Prom_DRP	-0,04								
			8	HLM	Húmero	310	300	-10	-0,032	-3,23		Prom_DR	0,000								
			8	HLF	Húmero	303	288	-15	-0,050	-4,95											
			8	HAE	Húmero	60	64	4	0,067	6,67											
			8	FLM	Fémur	440	435	-5	-0,011	-1,14											
			8	FLB	Fémur	435	430	-5	-0,011	-1,15											
			8	FAE	Fémur	80	80	0	0,000	0,00											
			8	FDSS	Fémur	28,22	30,5	2,28	0,081	8,08											
			8	FDTS	Fémur	32,88	33,1	0,22	0,007	0,67											
			8	FDS	Fémur	28,26	25,6	-2,66	-0,094	-9,41											
			8	FDT	Fémur	28,23	29,6	1,37	0,049	4,85											
			11	FLM	Fémur	441	445	4	0,009	0,91											
			11	FLB	Fémur	441	442	1	0,002	0,23											
			11	FAE	Fémur	83	80	-3	-0,036	-3,61											
			11	FDSS	Fémur	26,41	27,3	0,89	0,034	3,37											
			11	FDTS	Fémur	33,8	31	-2,8	-0,083	-8,28											
			11	FDS	Fémur	30,43	27,5	-2,93	-0,096	-9,63											
			11	FDT	Fémur	29,06	28,5	-0,56	-0,019	-1,93											
			14	FLM	Fémur	450	446	-4	-0,009	-0,89											
			14	FLB	Fémur	449	441	-8	-0,018	-1,78											
			14	FAE	Fémur	70	71	1	0,014	1,43											
			14	FDSS	Fémur	23,94	23,8	-0,14	-0,006	-0,58											
			14	FDTS	Fémur	30,3	30,2	-0,1	-0,003	-0,33											
			14	FDS	Fémur	25,52	22,8	-2,72	-0,107	-10,66											
			14	FDT	Fémur	26,9	33	6,1	0,227	22,68											
			2	TL	Tibia	339	337	-2	-0,006	-0,59											
			2	TAMEP	Tibia	71	69	-2	-0,028	-2,82											
			2	TAMED	Tibia	51	50	-1	-0,020	-1,96											
			2	TDMF	Tibia	33,98	34	0,02	0,001	0,06											
			2	TDTF	Tibia	23,1	22	-1,1	-0,048	-4,76											
			4	TL	Tibia	355	360	5	0,014	1,41											
			4	TAMEP	Tibia	80	80	0	0,000	0,00											
			4	TAMED	Tibia	52	54	2	0,038	3,85											
			4	TDMF	Tibia	32,34	32,1	-0,24	-0,007	-0,74											
			4	TDTF	Tibia	22,27	22,3	0,03	0,001	0,13											
			9	TL	Tibia	363	365	2	0,006	0,55											
			9	TAMEP	Tibia	65	65	0	0,000	0,00											
			9	TAMED	Tibia	47	49	2	0,043	4,26											
			9	TDMF	Tibia	31,5	32	0,5	0,016	1,59											
			9	TDTF	Tibia	23,24	24	0,76	0,033	3,27											
			14	TL	Tibia	367	369	2	0,005	0,54											
			14	TAMEP	Tibia	64	70	6	0,094	9,38											
			14	TAMED	Tibia	41	43	2	0,049	4,88											
			14	TDMF	Tibia	30,55	30,4	-0,15	-0,005	-0,49											
			14	TDTF	Tibia	19,1	20,7	1,6	0,084	8,38											
			8	XAL_D	Coxal	207	207	0	0,000	0,00											
			8	XAN_D	Coxal	151	153	2	0,013	1,32											
			8	LP_D	Coxal	86,47	87	0,53	0,006	0,61											
			8	LI_D	Coxal	91,08	80	-11,08	-0,122	-12,17											
			8	XAL_I	Coxal	210	210	0	0,000	0,00											
			8	XAN_I	Coxal	150	150	0	0,000	0,00											
			8	LP_I	Coxal	90,87	76,1	-14,77	-0,163	-16,25											
			8	LI_I	Coxal	91,5	89,2	-2,3	-0,025	-2,51											
			2	UFM	Cara	71,79	71	-0,79	-0,011	-1,10											
			2	WFB	Cara	103,25	101	-2,25	-0,022	-2,18											
			2	UFB	Cara	109,88	109	-0,88	-0,008	-0,80											
			2	NLH	Cara	52,41	52,6	0,19	0,004	0,36											
			2	NLB	Cara	26,36	26,5	0,14	0,005	0,53											
			2	OBB	Cara	40,69	40,9	0,21	0,005	0,52											
			2	OBH	Cara	37,36	36,1	-1,26	-0,034	-3,37											
			2	EKB	Cara	98,78	98,1	-0,68	-0,007	-0,69											
			2	DKB	Cara	24,65	24	-0,65	-0,026	-2,64											
			2	FRC	Cara	112,33	112	-0,33	-0,003	-0,29											
			2	PAC	Cara	110,8	109	-1,8	-0,016	-1,62											
			2	OCC	Cara	67,63	61	-6,63	-0,098	-9,80											
			8	UFM	Cara	66,49	63,4	-3,09	-0,046	-4,65											
			8	WFB	Cara	92,9	84,1	-8,8	-0,095	-9,47											
			8	UFB	Cara	101,78	92	-9,78	-0,096	-9,61											
			8	NLH	Cara	53,29	52,6	-0,69	-0,013	-1,29											
			8	NLB	Cara	25,16	23,3	-1,86	-0,074	-7,39											
			8	OBB	Cara	34,74	33,3	-1,44	-0,041	-4,15											
			8	OBH	Cara	35,32	34	-1,32	-0,037	-3,74											
			8	EKB	Cara	90,94	84,6	-6,34	-0,070	-6,97											
			8	DKB	Cara	23,5	25	1,5	0,064	6,38											
			8	FRC	Cara	107,85	96,2	-11,65	-0,108	-10,80											
			8	PAC	Cara	110,55	105	-5,55	-0,050	-5,02											
			8	OCC	Cara	66,2	63,8	-2,4	-0,036	-3,63											
			8	FOL	Cara	33,99	31	-2,99	-0,088	-8,80											
			8	FOB	Cara	28,9	26	-2,9	-0,100	-10,03											
			8	MDH	Cara	35,69	33,8	-1,89	-0,053	-5,30											
			9	UFM	Cara	71,13	71,9	0,77	0,011	1,08											
			9	WFB	Cara	99,64	103	3,36	0,034	3,37											
			9	UFB	Cara	102,21	107	4,79	0,047	4,69											
			9	NLH	Cara	49,78	52,1	2,32	0,047	4,66											
			9	NLB	Cara	24,15	24,2	0,05	0,002	0,21											
			9	OBB	Cara	35,54	39,6	4,06	0,114	11,42											
			9	OBH	Cara	38,24	38,4	0,16	0,004	0,42											
			9	EKB	Cara	97,34	101	3,66	0,038	3,76											
			9	DKB	Cara	25,08	24	-1,08	-0,043	-4,31											
			9	FRC	Cara	108,54	109	0,46	0,004	0,42											
			9	PAC	Cara	103,55	109	5,45	0,053	5,26											
			9	OCC	Cara	68,64	70	1,36	0,020	1,98											
			9	FOL	Cara	34,43	35,3	0,87	0,025	2,53											
			9	FOB	Cara	26,67	27,7	1,03	0,039	3,86											
			9	MDH	Cara	38,11	42	3,89	0,102	10,21											
