medida	Grupo
293	analogico
290	analogico
55	analogico
310	analogico
303	analogico
60	analogico
440	analogico
435	analogico
80	analogico
28.22	analogico
32.88	analogico
28.26	analogico
28.23	analogico
441	analogico
441	analogico
83	analogico
26.41	analogico
33.8	analogico
30.43	analogico
29.06	analogico
450	analogico
449	analogico
70	analogico
23.94	analogico
30.3	analogico
25.52	analogico
26.9	analogico
339	analogico
71	analogico
51	analogico
33.98	analogico
23.1	analogico
355	analogico
80	analogico
52	analogico
32.34	analogico
22.27	analogico
363	analogico
65	analogico
47	analogico
31.5	analogico
23.24	analogico
367	analogico
64	analogico
41	analogico
30.55	analogico
19.1	analogico
207	analogico
151	analogico
82.7	analogico
68.78	analogico
210	analogico
150	analogico
77.61	analogico
70.74	analogico
71.79	analogico
103.25	analogico
109.88	analogico
52.41	analogico
26.36	analogico
40.69	analogico
37.36	analogico
98.78	analogico
24.65	analogico
112.33	analogico
110.8	analogico
67.63	analogico
66.49	analogico
92.9	analogico
101.78	analogico
53.29	analogico
25.16	analogico
34.74	analogico
35.32	analogico
90.94	analogico
23.5	analogico
107.85	analogico
110.55	analogico
66.2	analogico
33.99	analogico
28.9	analogico
35.69	analogico
71.13	analogico
99.64	analogico
102.21	analogico
49.78	analogico
24.15	analogico
35.54	analogico
38.24	analogico
97.34	analogico
25.08	analogico
108.54	analogico
103.55	analogico
68.64	analogico
34.43	analogico
26.67	analogico
38.11	analogico
69.3	analogico
100.3	analogico
102.4	analogico
59.9	analogico
26.3	analogico
36.6	analogico
35.7	analogico
91.8	analogico
22.3	analogico
112.3	analogico
113.43	analogico
69.18	analogico
40.72	analogico
27.51	analogico
42.83	analogico
71.66	analogico
104.3	analogico
109.92	analogico
54.86	analogico
24.63	analogico
36.93	analogico
37.38	analogico
100.97	analogico
18.13	analogico
110	analogico
35.2	analogico
27.9	analogico
39.5	analogico
300	digital
296	digital
60	digital
300	digital
288	digital
64	digital
435	digital
430	digital
80	digital
30.5	digital
33.1	digital
25.6	digital
29.6	digital
445	digital
442	digital
80	digital
27.3	digital
31	digital
27.5	digital
28.5	digital
446	digital
441	digital
71	digital
23.8	digital
30.2	digital
22.8	digital
33	digital
337	digital
69	digital
50	digital
34	digital
22	digital
360	digital
80	digital
54	digital
32.1	digital
22.3	digital
365	digital
65	digital
49	digital
32	digital
24	digital
369	digital
70	digital
43	digital
30.4	digital
20.7	digital
207	digital
153	digital
77.8	digital
73.8	digital
210	digital
150	digital
74.8	digital
65.6	digital
71	digital
101	digital
109	digital
52.6	digital
26.5	digital
40.9	digital
36.1	digital
98.1	digital
24	digital
112	digital
109	digital
61	digital
63.4	digital
84.1	digital
92	digital
52.6	digital
23.3	digital
33.3	digital
34	digital
84.6	digital
25	digital
96.2	digital
105	digital
63.8	digital
31	digital
26	digital
33.8	digital
71.9	digital
103	digital
107	digital
52.1	digital
24.2	digital
39.6	digital
38.4	digital
101	digital
24	digital
109	digital
109	digital
70	digital
35.3	digital
27.7	digital
42	digital
67.4	digital
97.4	digital
98.2	digital
58	digital
26.5	digital
34.8	digital
33.5	digital
88.8	digital
20.1	digital
106	digital
106	digital
62.4	digital
39.1	digital
26.5	digital
45.9	digital
77.9	digital
110	digital
111.9	digital
57	digital
25.4	digital
44.7	digital
43.4	digital
100.9	digital
19.9	digital
114	digital
39.9	digital
31.8	digital
41.8	digital
