Individuo	Medida	Instrumento	Unidad	Analogico	Digital	Resta	Dif_rel	Dif_rel_porc
2	HLM	TO	Humero	293	300	7	0.024	2.39
2	HLF	TO	Humero	290	296	6	0.021	2.07
2	HAE	TO	Humero	55	60	5	0.091	9.09
8	HLM	TO	Humero	310	300	-10	-0.032	-3.23
8	HLF	TO	Humero	303	288	-15	-0.05	-4.95
8	HAE	TO	Humero	60	64	4	0.067	6.67
8	FLM	TO	Femur	440	435	-5	-0.011	-1.14
8	FLB	TO	Femur	435	430	-5	-0.011	-1.15
8	FAE	TO	Femur	80	80	0	0	0
8	FDSS	CC	Femur	28.22	30.5	2.28	0.081	8.08
8	FDTS	CC	Femur	32.88	33.1	0.22	0.007	0.67
8	FDS	CC	Femur	28.26	25.6	-2.66	-0.094	-9.41
8	FDT	CC	Femur	28.23	29.6	1.37	0.049	4.85
11	FLM	TO	Femur	441	445	4	0.009	0.91
11	FLB	TO	Femur	441	442	1	0.002	0.23
11	FAE	TO	Femur	83	80	-3	-0.036	-3.61
11	FDSS	CC	Femur	26.41	27.3	0.89	0.034	3.37
11	FDTS	CC	Femur	33.8	31	-2.8	-0.083	-8.28
11	FDS	CC	Femur	30.43	27.5	-2.93	-0.096	-9.63
11	FDT	CC	Femur	29.06	28.5	-0.56	-0.019	-1.93
14	FLM	TO	Femur	450	446	-4	-0.009	-0.89
14	FLB	TO	Femur	449	441	-8	-0.018	-1.78
14	FAE	TO	Femur	70	71	1	0.014	1.43
14	FDSS	CC	Femur	23.94	23.8	-0.14	-0.006	-0.58
14	FDTS	CC	Femur	30.3	30.2	-0.1	-0.003	-0.33
14	FDS	CC	Femur	25.52	22.8	-2.72	-0.107	-10.66
14	FDT	CC	Femur	26.9	33	6.1	0.227	22.68
2	TL	TO	Tibia	339	337	-2	-0.006	-0.59
2	TAMEP	TO	Tibia	71	69	-2	-0.028	-2.82
2	TAMED	TO	Tibia	51	50	-1	-0.02	-1.96
2	TDMF	CC	Tibia	33.98	34	0.02	0.001	0.06
2	TDTF	CC	Tibia	23.1	22	-1.1	-0.048	-4.76
4	TL	TO	Tibia	355	360	5	0.014	1.41
4	TAMEP	TO	Tibia	80	80	0	0	0
4	TAMED	TO	Tibia	52	54	2	0.038	3.85
4	TDMF	CC	Tibia	32.34	32.1	-0.24	-0.007	-0.74
4	TDTF	CC	Tibia	22.27	22.3	0.03	0.001	0.13
9	TL	TO	Tibia	363	365	2	0.006	0.55
9	TAMEP	TO	Tibia	65	65	0	0	0
9	TAMED	TO	Tibia	47	49	2	0.043	4.26
9	TDMF	CC	Tibia	31.5	32	0.5	0.016	1.59
9	TDTF	CC	Tibia	23.24	24	0.76	0.033	3.27
14	TL	TO	Tibia	367	369	2	0.005	0.54
14	TAMEP	TO	Tibia	64	70	6	0.094	9.38
14	TAMED	TO	Tibia	41	43	2	0.049	4.88
14	TDMF	CC	Tibia	30.55	30.4	-0.15	-0.005	-0.49
14	TDTF	CC	Tibia	19.1	20.7	1.6	0.084	8.38
8	XAL_D	CC	Coxal	207	207	0	0	0
8	XAN_D	CC	Coxal	151	153	2	0.013	1.32
8	LP_D	CC	Coxal	82.07	77.8	0.53	0.006	0.61
8	LI_D	CC	Coxal	68.78	73.8	-11.08	-0.122	-12.17
8	XAL_I	CC	Coxal	210	210	0	0	0
8	XAN_I	CC	Coxal	150	150	0	0	0
8	LP_I	CC	Coxal	77.61	74.8	-14.77	-0.163	-16.25
8	LI_I	CC	Coxal	70.74	65.6	-2.3	-0.025	-2.51
2	UFM	CC	Cara	71.79	71	-0.79	-0.011	-1.1
2	WFB	CC	Cara	103.25	101	-2.25	-0.022	-2.18
2	UFB	CC	Cara	109.88	109	-0.88	-0.008	-0.8
2	NLH	CC	Cara	52.41	52.6	0.19	0.004	0.36
2	NLB	CC	Cara	26.36	26.5	0.14	0.005	0.53
2	OBB	CC	Cara	40.69	40.9	0.21	0.005	0.52
2	OBH	CC	Cara	37.36	36.1	-1.26	-0.034	-3.37
2	EKB	CC	Cara	98.78	98.1	-0.68	-0.007	-0.69
2	DKB	CC	Cara	24.65	24	-0.65	-0.026	-2.64
2	FRC	CC	Cara	112.33	112	-0.33	-0.003	-0.29
2	PAC	CC	Cara	110.8	109	-1.8	-0.016	-1.62
2	OCC	CC	Cara	67.63	61	-6.63	-0.098	-9.8
8	UFM	CC	Cara	66.49	63.4	-3.09	-0.046	-4.65
8	WFB	CC	Cara	92.9	84.1	-8.8	-0.095	-9.47
8	UFB	CC	Cara	101.78	92	-9.78	-0.096	-9.61
8	NLH	CC	Cara	53.29	52.6	-0.69	-0.013	-1.29
8	NLB	CC	Cara	25.16	23.3	-1.86	-0.074	-7.39
8	OBB	CC	Cara	34.74	33.3	-1.44	-0.041	-4.15
8	OBH	CC	Cara	35.32	34	-1.32	-0.037	-3.74
8	EKB	CC	Cara	90.94	84.6	-6.34	-0.07	-6.97
8	DKB	CC	Cara	23.5	25	1.5	0.064	6.38
8	FRC	CC	Cara	107.85	96.2	-11.65	-0.108	-10.8
8	PAC	CC	Cara	110.55	105	-5.55	-0.05	-5.02
8	OCC	CC	Cara	66.2	63.8	-2.4	-0.036	-3.63
8	FOL	CC	Cara	33.99	31	-2.99	-0.088	-8.8
8	FOB	CC	Cara	28.9	26	-2.9	-0.1	-10.03
8	MDH	CC	Cara	35.69	33.8	-1.89	-0.053	-5.3
9	UFM	CC	Cara	71.13	71.9	0.77	0.011	1.08
9	WFB	CC	Cara	99.64	103	3.36	0.034	3.37
9	UFB	CC	Cara	102.21	107	4.79	0.047	4.69
9	NLH	CC	Cara	49.78	52.1	2.32	0.047	4.66
9	NLB	CC	Cara	24.15	24.2	0.05	0.002	0.21
9	OBB	CC	Cara	35.54	39.6	4.06	0.114	11.42
9	OBH	CC	Cara	38.24	38.4	0.16	0.004	0.42
9	EKB	CC	Cara	97.34	101	3.66	0.038	3.76
9	DKB	CC	Cara	25.08	24	-1.08	-0.043	-4.31
9	FRC	CC	Cara	108.54	109	0.46	0.004	0.42
9	PAC	CC	Cara	103.55	109	5.45	0.053	5.26
9	OCC	CC	Cara	68.64	70	1.36	0.02	1.98
9	FOL	CC	Cara	34.43	35.3	0.87	0.025	2.53
9	FOB	CC	Cara	26.67	27.7	1.03	0.039	3.86
9	MDH	CC	Cara	38.11	42	3.89	0.102	10.21
10	UFM	CC	Cara	69.3	67.4	-1.9	-0.027	-2.74
10	WFB	CC	Cara	100.3	97.4	-2.9	-0.029	-2.89
10	UFB	CC	Cara	102.4	98.2	-4.2	-0.041	-4.1
10	NLH	CC	Cara	59.9	58	-1.9	-0.032	-3.17
10	NLB	CC	Cara	26.3	26.5	0.2	0.008	0.76
10	OBB	CC	Cara	36.6	34.8	-1.8	-0.049	-4.92
10	OBH	CC	Cara	35.7	33.5	-2.2	-0.062	-6.16
10	EKB	CC	Cara	91.8	88.8	-3	-0.033	-3.27
10	DKB	CC	Cara	22.3	20.1	-2.2	-0.099	-9.87
10	FRC	CC	Cara	112.3	106	-6.3	-0.056	-5.61
10	PAC	CC	Cara	113.43	106	-7.43	-0.066	-6.55
10	OCC	CC	Cara	69.18	62.4	-6.78	-0.098	-9.8
10	FOL	CC	Cara	40.72	39.1	-1.62	-0.04	-3.98
10	FOB	CC	Cara	27.51	26.5	-1.01	-0.037	-3.67
10	MDH	CC	Cara	42.83	45.9	3.07	0.072	7.17
11	UFM	CC	Cara	71.66	77.9	6.24	0.087	8.71
11	WFB	CC	Cara	104.3	110	5.7	0.055	5.47
11	UFB	CC	Cara	109.92	111.9	1.98	0.018	1.8
11	NLH	CC	Cara	54.86	57	2.14	0.039	3.9
11	NLB	CC	Cara	24.63	25.4	0.77	0.031	3.13
11	OBB	CC	Cara	36.93	44.7	7.77	0.21	21.04
11	OBH	CC	Cara	37.38	43.4	6.02	0.161	16.1
11	EKB	CC	Cara	100.97	100.9	-0.07	-0.001	-0.07
11	DKB	CC	Cara	18.13	19.9	1.77	0.098	9.76
11	FRC	CC	Cara	110	114	4	0.036	3.64
11	FOL	CC	Cara	35.2	39.9	4.7	0.134	13.35
11	FOB	CC	Cara	27.9	31.8	3.9	0.14	13.98
11	MDH	CC	Cara	39.5	41.8	2.3	0.058	5.82
